id,filename,current_commit,parent_commit,old_status,new_status,status
5408539f72c3725c54c721a1c84ee93ba958d888#0,h2o-py/demos/glrm_census_large.ipynb,5408539f72c3725c54c721a1c84ee93ba958d888,99329a50664a0585dd507da930a4974d059cbd20,success,ss,success
6e1e0854c84d7a0613c4f303dd522d088a045ae3#0,h2o-py/demos/H2O_tutorial.ipynb,6e1e0854c84d7a0613c4f303dd522d088a045ae3,c33b4deddaf4aeaf7b7938105ce19a49c7d8b559,success,ss,success
43c9b82ab463e712910d1353013d499684021858#1,h2o-py/demos/citi_bike_small.ipynb,43c9b82ab463e712910d1353013d499684021858,4ba8c5e77e1764782620647bfdff720414c6f194,success,ss,success
2e03db4635a1fbda1afc01bbbb49647eff9602d4#0,2 - Autoawait in IPython.ipynb,2e03db4635a1fbda1afc01bbbb49647eff9602d4,e117b1fe819b1711ac6a340d552564730bd10900,success,ss,success
95de4c01ea723142cd96c01db07be67cb8daac92#0,PmagPy_online.ipynb,95de4c01ea723142cd96c01db07be67cb8daac92,949416a7d5f949f201fb343fdd59f37e36ea5189,success,ss,success
c74baad5354cf0f158ab86a2236e73664b6d1923#1,PmagPy_MagIC.ipynb,c74baad5354cf0f158ab86a2236e73664b6d1923,03fcf652a2dd698e352ce1e464a7c6170c9d3b9a,success,ss,success
9ffd3eaf8f47a94fefa55c0d19712bf1f73ddee1#1,data_files/iodp_magic/.ipynb_checkpoints/U999A-checkpoint.ipynb,9ffd3eaf8f47a94fefa55c0d19712bf1f73ddee1,82840b7581fff7035a129e4e623e977c9363dc7e,success,ss,success
a64b87b63bb7540728ebf494b65b6c36a1b43291#0,PmagPy-cli.ipynb,a64b87b63bb7540728ebf494b65b6c36a1b43291,3ebb92c4ee3bdb8a771eff36c20f04db50f1cf0f,success,ss,success
a64b87b63bb7540728ebf494b65b6c36a1b43291#4,PmagPy_plots_analysis.ipynb,a64b87b63bb7540728ebf494b65b6c36a1b43291,3ebb92c4ee3bdb8a771eff36c20f04db50f1cf0f,success,ss,success
a80c889e7a63e964b9077f168c0835417137b221#0,PmagPy-cli.ipynb,a80c889e7a63e964b9077f168c0835417137b221,0d0fe03df6fa07f4817bcdb8a6a272c482f06350,success,ss,success
a80c889e7a63e964b9077f168c0835417137b221#4,PmagPy_plots_analysis.ipynb,a80c889e7a63e964b9077f168c0835417137b221,0d0fe03df6fa07f4817bcdb8a6a272c482f06350,success,ss,success
3a3b17b2f53cb43e760e2c4ad54bb1484d9e06cd#0,PmagPy-cli.ipynb,3a3b17b2f53cb43e760e2c4ad54bb1484d9e06cd,4046d94268a0e5e559af4fcf97e5439118d52cb7,success,ss,success
3a3b17b2f53cb43e760e2c4ad54bb1484d9e06cd#1,PmagPy.ipynb,3a3b17b2f53cb43e760e2c4ad54bb1484d9e06cd,4046d94268a0e5e559af4fcf97e5439118d52cb7,success,ss,success
