repo,id,filename,old_cell,new_cell,type,evaluation,correct_old_cell,correct_new_cell
Data-Analysis,f27ad4541b447840ea7dbe45aeb27dfe267fcc2a#0,additive_models/Stock Prediction with Additive Models.ipynb,-1,43,add,y,-1,-1
fastai,0185ae02974116b237fff2d584b20102ee23624d#0,docs_src/utils.mem.ipynb,-1,54,add,i,-1,-1
fastai,35b640d45963967e8b0202e7223c054d56f3b1e4#6,docs_src/torch_core.ipynb,-1,94,add,i,-1,-1
recommenders,a0566017b69395b98add3eb37be885a60f6186b7#0,notebooks/04_model_select_and_optimize/azureml_hyperdrive_tuning_svd.ipynb,-1,28,add,y,-1,-1
fastai,1919702e6df0e3004a59f528c7e02dad8f05a3b7#0,courses/dl1/fish.ipynb,-1,27,add,n,25,25
recommenders,dcb537c62ff080fe4c709c45a23b9b0f60a40b12#0,notebooks/02_model/vowpal_wabbit_deep_dive.ipynb,-1,11,add,n,11,11
ThinkDSP,0b35368148c69c3d2773dc4ba8543d35acd976a7#0,code/chap06.ipynb,-1,46,add,y,-1,-1
fastai,c7126f61ef305fe6a149d2bb7362b67229d44aa7#1,courses/ml1/lesson1.ipynb,-1,53,add,y,-1,-1
Data-Analysis,0ccbf25fce26b756abe8908531ad5827c4a43183#0,univariate_dist/Histogram and Density Plot.ipynb,-1,1,add,y,-1,-1
csound,c87dc9664113be4dfdff69da2a6b4461eed9e1aa#0,frontends/icsound/icsound test notebook.ipynb,-1,81,add,y,-1,-1
Data-Analysis,267ac79cdc6f0b60c0dc334983ad8c0970a7b5da#1,medium/Medium Stats Analysis.ipynb,-1,20,add,y,-1,-1
fastai,6bfc57a2b2956f29b3dedfd5feee4ab63d04fe99#24,docs_src/tabular.transform.ipynb,-1,44,add,i,-1,-1
ThinkDSP,d3f05e02fad4eea1d83903474faa1c88bfe49f48#0,code/chap10preview.ipynb,-1,22,add,i,-1,-1
h2o-3,72477b9a7d22818d0143eba1aab47326aebbbea3#0,h2o-docs/src/product/tutorials/gbm/gbmTuning.ipynb,-1,60,add,y,-1,-1
recommenders,ce6069edb938dae8f5a2eeb0d3d28cbb61402f26#0,notebooks/05_operationalize/lightgbm_criteo_o16n.ipynb,-1,34,add,y,-1,-1
fastai,4222c2d95533755d12592bd392bf6c68fa3e30b0#38,docs_src/text.learner.ipynb,-1,47,add,i,-1,-1
fastai,ff8c3d81be4060a14b6e12d738b72a803b60848f#0,docs_src/data_block.ipynb,-1,155,add,y,-1,-1
recommenders,fb2f8c8c8770eb72fd47ad6220729ad180f5a826#0,notebooks/04_model_select_and_optimize/nni_surprise_svd.ipynb,-1,11,add,n,11,11
fastai,f852743b945088c9123139c4962364546a62a7fe#2,docs_src/vision.data.ipynb,-1,89,add,y,-1,-1
PmagPy,3a3b17b2f53cb43e760e2c4ad54bb1484d9e06cd#1,PmagPy.ipynb,-1,244,add,y,-1,-1
fastai,39c120c4bcee2ed7e3191f62a2b8858e85af89c3#3,docs_src/train.ipynb,-1,40,add,i,-1,-1
